city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
"г. Владивосток, ул. Полетаева, д. 6",2,21700,4400,1909600,0.005,0.06,1
"г. Владивосток, ул. Посьетская, 14",1,51500,9400,9682000,0.005,0.06,1
"г. Владивосток, ул. Прапорщика Комарова, 36",1,43400,9100,7898800,0.005,0.06,1
"г. Владивосток, ул. Русская, 16",1,65000,1500,1950000,0.005,0.06,1
"г. Владивосток, ул. Русская, 66",4,46200,2600,2402400,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 19в",1,87300,5000,8730000,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 2а",4,87500,5000,8750000,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 4",1,98800,4700,9287200,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 46, стр. Б",3,97100,4900,9515800,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 74 А",4,54100,8300,8980600,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 74а",4,84700,7300,12366200,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 87а",3,79800,1400,2234400,0.005,0.06,1
"г. Владивосток, ул. Сахалинская, 42",3,3500,6500,455000,0.005,0.06,1
"г. Владивосток, ул. Светланская 57",3,91800,6900,12668400,0.005,0.06,1
"г. Владивосток, ул. Светланская, 106",1,24100,7500,3615000,0.005,0.06,1
"г. Владивосток, ул. Светланская, 143",3,70700,1300,1838200,0.005,0.06,1
"г. Владивосток, ул. Светланская, 189",1,4100,9200,754400,0.005,0.06,1
"г. Владивосток, ул. Светланская, 22",3,53500,7600,8132000,0.005,0.06,1
"г. Владивосток, ул. Светланская, 29",1,50200,3900,3915600,0.005,0.06,1
"г. Владивосток, ул. Светланская, 31",2,56700,3800,4309200,0.005,0.06,1
"г. Владивосток, ул. Светланская, 71",0,74200,4600,6826400,0.005,0.06,1
"г. Владивосток, ул. Семеновская, 15",3,31600,8100,5119200,0.005,0.06,1
"г. Владивосток, ул. Спортивная, 5",2,65300,7400,9664400,0.005,0.06,1
"г. Владивосток, ул. Станюковича, 49, корп. А",3,57700,9400,10847600,0.005,0.06,1
"г. Владивосток, ул. Станюковича, д. 49а",0,62000,5500,6820000,0.005,0.06,1
"г. Владивосток, ул. Стрельникова, 9",2,80000,1500,2400000,0.005,0.06,1
"г. Владивосток, ул. Тимирязева, 31",3,16100,8500,2737000,0.005,0.06,1
"г. Владивосток, ул. Трамвайная, 16",2,88200,2800,4939200,0.005,0.06,1
"г. Владивосток, ул. Тухачевского, 53",1,90300,3800,6862800,0.005,0.06,1
"г. Владивосток, ул. Уборевича, 6",3,23600,4000,1888000,0.005,0.06,1
"г. Владивосток, ул. Фадеева, 1",1,69800,3700,5165200,0.005,0.06,1
"г. Владивосток, ул. Фадеева, 30Б",1,36200,5300,2686040,0.004,0.1,1
"г. Владивосток, ул. Фадеева, д. 30 Б",2,53600,4600,4931200,0.005,0.06,1
"г. Владивосток, ул. Фокина, 19",0,10900,4900,747740,0.004,0.1,1
"г. Владивосток, ул. Фонтанная, 18",2,68200,6500,8866000,0.005,0.06,1
"г. Владивосток, ул. Черемуховая 15",4,55000,6900,7590000,0.005,0.06,1
"г. Владивосток, ул. Черемуховая, 6",3,72200,600,866400,0.005,0.06,1
"г. Владивосток, ул. Черемуховая, 7",3,84100,2300,3868600,0.005,0.06,1
"г. Владивосток, ул. Шилкинская, д. 10а",0,65500,4300,5633000,0.005,0.06,1
"г. Владивосток, ул. Шилкинская, д. 42",2,51400,3300,3392400,0.005,0.06,1
"г. Владивосток, ул. Шуйская, д. 23а",4,12600,9900,2494800,0.005,0.06,1
"г. Владивосток, ул. 1-я Морская, д. 2",3,74300,5400,1604880,0.003,0.02,1
"г. Владивосток, ул. 1-я Морская, д. 8",2,27700,9000,1495800,0.003,0.04,1
"г. Владивосток, ул. 2-я Шоссейная, д. 1",2,98800,6000,3556800,0.003,0.02,1
"г. Владивосток, ул. 3-я Шоссейная, д. 21",4,88300,1300,229580,0.003,0.01,1
"г. Владивосток, ул. 40 лет ВЛКСМ, д. 14",2,46700,5500,1541100,0.003,0.08,1
"г. Владивосток, ул. 5-я Проходная, д. 15",2,89400,500,268200,0.003,0.02,1
"г. Владивосток, ул. Авроровская, д. 10",4,7000,8100,340200,0.003,0.04,1
"г. Владивосток, ул. Адмирала Фокина, д. 20",3,900,2400,8640,0.003,0.03,1
"г. Владивосток, ул. Адмирала Фокина, д. 25",1,35600,9400,669280,0.003,0.02,1
"г. Владивосток, ул. Адмирала Фокина, д. 4",4,32900,9200,1816080,0.003,0.04,1
"г. Владивосток, ул. Адмирала Юмашева, д. 4",2,75600,3900,1769040,0.003,0.03,1
"г. Владивосток, ул. Алеутская, д. 14",0,37600,8800,661760,0.003,0.02,1
"г. Владивосток, ул. Алеутская, д. 15",4,20400,9200,2627520,0.003,0.02,1
"г. Владивосток, ул. Алеутская, д. 2",3,68400,9300,8905680,0.003,0.02,1
"г. Владивосток, ул. Алеутская, д. 28",1,82100,3700,1822620,0.003,0.08,1
"г. Владивосток, ул. Алеутская, д. 4",3,97800,2000,2738400,0.003,0.02,1
"г. Владивосток, ул. Алеутская, д. 57",2,97400,4000,2337600,0.003,0.04,1
"г. Владивосток, ул. Амурская, д. 88",3,79800,3300,3686760,0.003,0.02,1
"г. Владивосток, ул. Балтийская, 43",3,20000,6100,2440000,0.005,0.06,1
"г. Владивосток, ул. Баляева, д. 62",2,64500,5000,1935000,0.003,0.04,1
"г. Владивосток, ул. Бестужева, д. 23",0,21300,2400,306720,0.003,0.08,1
"г. Владивосток, ул. Борисенко, 35",3,72000,9600,13824000,0.005,0.06,1
"г. Владивосток, ул. Борисенко, 42",1,24600,7100,3493200,0.005,0.06,1
"г. Владивосток, ул. Борисенко, д. 21",1,89600,900,322560,0.003,0.03,1
"г. Владивосток, ул. Борисенко, д. 25",0,6200,2600,64480,0.003,0.02,1
"г. Владивосток, ул. Борисенко, д. 27",1,45900,3100,853740,0.003,0.02,1
"г. Владивосток, ул. Борисенко, д. 32",1,63600,1500,763200,0.003,0.01,1
"г. Владивосток, ул. Борисенко, д. 9",3,6800,4500,61200,0.003,0.02,1
"г. Владивосток, ул. Бородинская, д. 46/50",3,50100,9000,2705400,0.003,0.04,1
"г. Владивосток, ул. Верхнепортовая, д. 1",3,34800,8900,4336080,0.003,0.02,1
"г. Владивосток, ул. Верхнепортовая, д. 27а",3,12600,7600,574560,0.003,0.02,1
"г. Владивосток, ул. Верхнепортовая, д. 2г",2,12700,2100,213360,0.003,0.03,1
"г. Владивосток, ул. Верхнепортовая, д. 38",3,22800,700,191520,0.003,0.07,1
"г. Владивосток, ул. Верхнепортовая, д. 46",1,58300,6100,4978820,0.003,0.02,1
"г. Владивосток, ул. Верхнепортовая, д. 76",0,23800,5300,756840,0.003,0.04,1
"г. Владивосток, ул. Вилкова, 5",2,15300,6000,1836000,0.005,0.06,1
"г. Владивосток, ул. Вилкова, д. 3",4,55000,2400,792000,0.003,0.08,1
"г. Владивосток, ул. Вилкова, д. 5",3,66300,5600,2227680,0.003,0.02,1
"г. Владивосток, ул. Волгоградская, 20",1,67100,8300,11138600,0.005,0.06,1
"г. Владивосток, ул. Героев Варяга, д. 12",1,3100,700,13020,0.003,0.04,1
"г. Владивосток, ул. Героев Хасана, д. 4",3,92300,8300,4596540,0.003,0.08,1
"г. Владивосток, ул. Героев-Тихоокеанцев, д. 1",1,91200,2100,1915200,0.02,0.8,1
"г. Владивосток, ул. Дальзаводская, 2",1,25300,100,50600,0.005,0.06,1
"г. Владивосток, ул. Дальзаводская, д. 1",4,24600,4000,196800,0.003,0.01,1
"г. Владивосток, ул. Дальзаводская, д. 4",1,58200,8400,2933280,0.003,0.02,1
"г. Владивосток, ул. Деревенская, 14",4,44300,5800,5138800,0.005,0.06,1
"г. Владивосток, ул. Добровольского, д. 31",2,68000,4800,1958400,0.003,0.04,1
"г. Владивосток, ул. Жигура, д. 26",4,74600,7300,1089160,0.001,0.02,1
"г. Владивосток, ул. Жигура, д. 32",3,93800,8700,4896360,0.003,0.02,1
"г. Владивосток, ул. Зои Космодемьянской, д. 16",4,10800,7100,460080,0.003,0.04,1
"г. Владивосток, ул. Зои Космодемьянской, д. 5",1,7900,3200,101120,0.003,0.02,1
"г. Владивосток, ул. Зои Космодемьянской, д. 7",4,36900,1400,413280,0.003,0.03,1
"г. Владивосток, ул. Ильичева, 4",3,55600,1800,2001600,0.005,0.06,1
"г. Владивосток, ул. Калинина, д. 23",4,63700,5000,1911000,0.003,0.04,1
"г. Владивосток, ул. Калинина, д. 230",3,23900,8300,1190220,0.003,0.02,1
"г. Владивосток, ул. Калинина, д. 275 Б",1,49000,4300,2107000,0.02,0.8,1
"г. Владивосток, ул. Калинина, д. 275, корп. 19",0,1000,9400,18800,0.001,0.02,1
"г. Владивосток, ул. Калинина, д. 281",1,28900,5300,1225360,0.003,0.01,1
"г. Владивосток, ул. Калинина, д. 42",2,19100,7200,825120,0.003,0.04,1
"г. Владивосток, ул. Капитана Шефнера, д. 2",4,54600,5300,3472560,0.003,0.07,1
"г. Владивосток, ул. Каплунова, д. 1",2,70300,2300,970140,0.003,0.08,1
"г. Владивосток, ул. Каплунова, д. 7",0,69100,5100,4228920,0.003,0.07,1
"г. Владивосток, ул. Карла Жигура, д. 26",3,70000,4200,588000,0.003,0.05,1
"г. Владивосток, ул. Кипарисовая, д. 18",3,16100,9100,879060,0.003,0.02,1
"г. Владивосток, ул. Кирова, д. 23",3,16100,5300,341320,0.003,0.02,1
"г. Владивосток, ул. Кирова, д. 9",3,55700,4000,1336800,0.003,0.04,1
"г. Владивосток, ул. Крыгина 16",3,54800,3800,4164800,0.005,0.06,1
"г. Владивосток, ул. Крыгина, 23",2,16700,9400,3139600,0.005,0.06,1
"г. Владивосток, ул. Крыгина, д. 3",1,35600,9900,1409760,0.003,0.02,1
"г. Владивосток, ул. Лазурная, 19",4,23600,4100,1935200,0.005,0.06,1
"г. Владивосток, ул. Маковского, д. 224",3,92700,9400,5228280,0.003,0.02,1
"г. Владивосток, ул. Маковского, д. 284",0,69900,1800,754920,0.003,0.04,1
"г. Владивосток, ул. Мордовцева, д. 6",1,12600,2900,292320,0.003,0.03,1
"г. Владивосток, ул. Морозова, д. 7а",2,95500,3300,4412100,0.003,0.02,1
"г. Владивосток, ул. Набережная, д. 10",2,81300,8200,9333240,0.003,0.02,1
"г. Владивосток, ул. Набережная, д. 20",4,98700,3000,1776600,0.003,0.02,1
"г. Владивосток, ул. Нейбута, 51",2,72800,8400,12230400,0.005,0.06,1
"г. Владивосток, ул. Нейбута, д. 31",1,100,8700,1740,0.003,0.05,1
"г. Владивосток, ул. Некрасовская, 76",4,16100,4100,1320200,0.005,0.06,1
"г. Владивосток, ул. Некрасовская, д. 29",2,88200,400,211680,0.003,0.02,1
"г. Владивосток, ул. Некрасовская, д. 59",0,54100,6900,1493160,0.003,0.03,1
"г. Владивосток, ул. Некрасовская, д. 72",3,73500,9500,4189500,0.003,0.08,1
"г. Владивосток, ул. Некрасовская, д. 76",1,88800,6700,3569760,0.003,0.08,1
"г. Владивосток, ул. Некрасовская, д. 98",3,81900,3000,1965600,0.003,0.03,1
"г. Владивосток, ул. Нижнепортовая, д. 1",1,61700,5000,1234000,0.003,0.02,1
"г. Владивосток, ул. Новожилова, д. 19",2,51600,7700,1589280,0.003,0.02,1
"г. Владивосток, ул. Окатовая, д. 12а",4,18700,4500,504900,0.003,0.04,1
"г. Владивосток, ул. Окатовая, д. 28",2,13900,7100,789520,0.003,0.03,1
"г. Владивосток, ул. Олега Кошевого, д. 1в",0,45300,3900,1766700,0.02,0.8,1
"г. Владивосток, ул. Олега Кошевого, д. 29",2,91700,6000,3301200,0.003,0.03,1
"г. Владивосток, ул. Пальчевского, д. 17",2,15500,3700,344100,0.003,0.04,1
"г. Владивосток, ул. Пионерская, 1",2,97300,4300,8367800,0.005,0.06,1
"г. Владивосток, ул. Полетаева 6 Д",4,72000,800,1152000,0.005,0.06,1
"г. Владивосток, ул. Посьетская, д. 14",3,92900,7900,4403460,0.003,0.04,1
"г. Владивосток, ул. Посьетская, д. 20",3,59900,3000,1078200,0.003,0.02,1
"г. Владивосток, ул. Посьетская, д. 21",4,48000,9500,912000,0.003,0.01,1
"г. Владивосток, ул. Радио, 5",1,48900,7600,7432800,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 16",2,82900,3300,547140,0.003,0.01,1
"г. Владивосток, ул. Русская, д. 19в",2,60600,1000,606000,0.02,0.8,1
"г. Владивосток, ул. Русская, д. 35",2,26600,5300,845880,0.003,0.02,1
"г. Владивосток, ул. Русская, д. 37а",3,88300,4800,2543040,0.003,0.03,1
"г. Владивосток, ул. Русская, д. 39 Б",1,48400,7300,4946480,0.003,0.02,1
"г. Владивосток, ул. Русская, д. 41а",0,92700,3300,1223640,0.003,0.02,1
"г. Владивосток, ул. Русская, д. 46",1,77700,1000,621600,0.003,0.03,1
"г. Владивосток, ул. Русская, д. 55 Б",3,25100,6500,2284100,0.003,0.02,1
"г. Владивосток, ул. Русская, д. 55а",2,57900,7100,2466540,0.003,0.03,1
"г. Владивосток, ул. Русская, д. 65",4,94900,9900,5637060,0.003,0.04,1
"г. Владивосток, ул. Русская, д. 66",1,64200,800,308160,0.003,0.04,1
"г. Владивосток, ул. Русская, д. 68 Б",2,75800,9300,5639520,0.003,0.03,1
"г. Владивосток, ул. Русская, д. 74в",3,7500,3200,240000,0.02,0.8,1
"г. Владивосток, ул. Русская, д. 82",4,45700,1200,109680,0.003,0.01,1
"г. Владивосток, ул. Садовая, д. 22",4,33300,7500,1998000,0.003,0.03,1
"г. Владивосток, ул. Сахалинская, д. 19",0,53900,6700,2166780,0.003,0.03,1
"г. Владивосток, ул. Сахалинская, д. 27",3,36000,3700,532800,0.003,0.02,1
"г. Владивосток, ул. Сахалинская, д. 42",2,94100,5100,2879460,0.003,0.04,1
"г. Владивосток, ул. Сахалинская, д. 42, стр. 5",4,91700,8400,6162240,0.003,0.03,1
"г. Владивосток, ул. Сахалинская, д. 48",4,23900,4600,659640,0.003,0.02,1
"г. Владивосток, ул. Светланская, 45",2,31800,7800,4960800,0.005,0.06,1
"г. Владивосток, ул. Светланская, д. 11",0,87400,10000,5244000,0.003,0.04,1
"г. Владивосток, ул. Светланская, д. 131 Б",3,88600,4900,2604840,0.003,0.04,1
"г. Владивосток, ул. Светланская, д. 143",0,21700,9300,403620,0.003,0.02,1
"г. Владивосток, ул. Светланская, д. 150",3,67500,2600,2457000,0.003,0.02,1
"г. Владивосток, ул. Светланская, д. 189",2,8300,800,66400,0.02,0.8,1
"г. Владивосток, ул. Светланская, д. 22",2,35800,9000,1933200,0.003,0.04,1
"г. Владивосток, ул. Светланская, д. 29",2,40300,2700,1088100,0.02,0.8,1
"г. Владивосток, ул. Светланская, д. 31",3,75200,4500,1353600,0.003,0.02,1
"г. Владивосток, ул. Светланская, д. 33",3,56900,9100,3106740,0.003,0.02,1
"г. Владивосток, ул. Светланская, д. 37",2,44800,5800,1559040,0.003,0.03,1
"г. Владивосток, ул. Светланская, д. 41",2,70300,1600,674880,0.003,0.08,1
"г. Владивосток, ул. Светланская, д. 47",3,91600,5700,3132720,0.003,0.04,1
"г. Владивосток, ул. Светланская, д. 51",1,26400,6300,1995840,0.003,0.07,1
"г. Владивосток, ул. Светланская, д. 56",4,22800,1700,155040,0.003,0.03,1
"г. Владивосток, ул. Светланская, д. 69",1,93700,1300,243620,0.001,0.02,1
"г. Владивосток, ул. Светланская, д. 71",2,43900,4500,1185300,0.003,0.03,1
"г. Владивосток, ул. Светланская, д. 72",1,74400,6700,2990880,0.003,0.02,1
"г. Владивосток, ул. Светланская, д. 78",4,28300,1300,515060,0.003,0.02,1
"г. Владивосток, ул. Светланская, д. 78 Б",3,42400,1000,84800,0.003,0.01,1
"г. Владивосток, ул. Светланская, д. 83",0,96400,200,115680,0.003,0.02,1
"г. Владивосток, ул. Семеновская, 29",3,40400,6600,5332800,0.005,0.06,1
"г. Владивосток, ул. Семеновская, д. 12",1,87900,6300,3322620,0.003,0.04,1
"г. Владивосток, ул. Семеновская, д. 18",2,10500,1300,27300,0.003,0.05,1
"г. Владивосток, ул. Семеновская, д. 25",3,63700,4500,1146600,0.003,0.02,1
"г. Владивосток, ул. Семеновская, д. 30",2,77500,2200,341000,0.003,0.02,1
"г. Владивосток, ул. Семеновская, д. 6г",3,18500,1500,55500,0.003,0.01,1
"г. Владивосток, ул. Снеговая, д. 64",2,41300,600,148680,0.003,0.02,1
"г. Владивосток, ул. Спортивная, д. 2",1,55200,7700,3400320,0.003,0.01,1
"г. Владивосток, ул. Спортивная, д. 4",2,97800,5200,3051360,0.003,0.04,1
"г. Владивосток, ул. Спортивная, д. 5",3,32400,400,77760,0.003,0.03,1
"г. Владивосток, ул. Стрелочная, 19",2,30600,7300,4467600,0.005,0.06,1
"г. Владивосток, ул. Стрельникова, д. 3 Б",2,35800,5200,744640,0.003,0.02,1
"г. Владивосток, ул. Стрельникова, д. 7",3,900,7100,38340,0.003,0.02,1
"г. Владивосток, ул. Стрельникова, д. 9",3,19100,300,80220,0.003,0.02,1
"г. Владивосток, ул. Тигровая, д. 7",2,47400,700,265440,0.003,0.03,1
"г. Владивосток, ул. Тимирязева, д. 31",2,72500,9900,4306500,0.003,0.02,1
"г. Владивосток, ул. Толстого, д. 32",3,55400,8900,6902840,0.003,0.02,1
"г. Владивосток, ул. Трамвайная, д. 12",1,22500,700,220500,0.003,0.02,1
"г. Владивосток, ул. Тухачевского, д. 53",3,86000,5800,1995200,0.003,0.02,1
"г. Владивосток, ул. Уборевича, д. 11",3,76200,8100,4937760,0.003,0.03,1
"г. Владивосток, ул. Уборевича, д. 5а",4,79800,3900,3112200,0.02,0.8,1
"г. Владивосток, ул. Уборевича, д. 7",3,36100,4200,303240,0.003,0.02,1
"г. Владивосток, ул. Успенского, д. 58 Б",0,58800,1200,423360,0.003,0.04,1
"г. Владивосток, ул. Фадеева, д. 1",0,80700,1700,274380,0.001,0.02,1
"г. Владивосток, ул. Фадеева, д. 2д",1,48600,9500,923400,0.003,0.05,1
"г. Владивосток, ул. Фадеева, д. 42а",2,7200,3800,328320,0.003,0.07,1
"г. Владивосток, ул. Фастовская, д. 20",1,9400,5400,710640,0.003,0.02,1
"г. Владивосток, ул. Фонтанная, 53",0,10400,2900,603200,0.005,0.06,1
"г. Владивосток, ул. Фонтанная, д. 16",1,51800,4200,870240,0.003,0.02,1
"г. Владивосток, ул. Хабаровская 9",3,53500,5500,5885000,0.005,0.06,1
"г. Владивосток, ул. Хабаровская, 19",0,46200,1300,1201200,0.005,0.06,1
"г. Владивосток, ул. Чапаева, д. 9",1,58700,6100,716140,0.003,0.02,1
"г. Владивосток, ул. Черемуховая, д. 18а",3,90100,2200,1189320,0.003,0.08,1
"г. Владивосток, ул. Черемуховая, д. 7",2,56600,900,305640,0.003,0.04,1
"г. Владивосток, ул. Черемуховая, д. 9",4,21100,600,25320,0.003,0.02,1
"г. Владивосток, ул. Черняховского 5",1,71400,3200,4569600,0.005,0.06,1
"г. Владивосток, ул. Четвертая, д. 11",1,88200,8600,4551120,0.003,0.04,1
"г. Владивосток, ул. Шепеткова, д. 8",4,7200,3000,86400,0.003,0.03,1
"г. Владивосток, ул. Шилкинская, д. 10а",2,79300,8800,4187040,0.003,0.02,1
"г. Владивосток, ул. Шилкинская, д. 42",1,17600,2700,285120,0.003,0.04,1
"г. Владивосток, ш. Военное, д. 1а",0,65700,5300,4874940,0.003,0.02,1
"г. Хабаровск, бул. Амурский, 2",0,59800,3300,3946800,0.005,0.06,1
"г. Хабаровск, бул. Амурский, 5",0,45500,4100,3731000,0.005,0.06,1
"г. Хабаровск, бул. Амурский, д. 18",1,57600,6200,4285440,0.003,0.07,1
"г. Хабаровск, бул. Амурский, д. 39",3,34900,4200,2052120,0.003,0.02,1
"г. Хабаровск, бул. Уссурийский, д. 58",2,32500,3300,1501500,0.003,0.02,1
"г. Хабаровск, бул. Уссурийский, д. 6",4,13700,9600,526080,0.003,0.07,1
"г. Хабаровск, бул. Уссурийский, д. 9",4,44100,2200,194040,0.003,0.01,1
"г. Хабаровск, ДОС, д. 35",3,8900,500,26700,0.003,0.08,1
"г. Хабаровск, квартал ДОС (Большой Аэродром), д. 41",1,96700,4700,6362860,0.003,0.02,1
"г. Хабаровск, кв-л 70-летия Октября, д. 5",2,81700,3400,5555600,0.005,0.06,1
"г. Хабаровск, кв-л ДОС (Большой Аэродром), д. 35",1,14800,1400,414400,0.005,0.06,1
"г. Хабаровск, кв-л ДОС (Большой Аэродром), д. 51",3,89900,8400,15103200,0.005,0.06,1
"г. Хабаровск, Ленинградская ул., 28И",3,10200,7900,1128120,0.004,0.1,1
"г. Хабаровск, Ленинградская, д. 58",1,68800,4700,4527040,0.003,0.02,1
"г. Хабаровск, Молодежная ул., 21",3,71100,1600,1592640,0.004,0.1,1
"г. Хабаровск, п. Березовка, ул. Сергеевская, д. 9",2,61000,600,219600,0.003,0.03,1
"г. Хабаровск, пер. Донской, 5",1,59400,2500,2970000,0.005,0.06,1
"г. Хабаровск, пер. Краснодарский, д. 1",2,64500,900,1161000,0.005,0.06,1
"г. Хабаровск, пер. Ленинградский, д. 13",2,14700,2000,176400,0.003,0.08,1
"г. Хабаровск, пер. Сормовский, 1",2,22000,7700,3388000,0.005,0.06,1
"г. Хабаровск, пер. Топографический, д. 12",3,16100,8300,1069040,0.003,0.03,1
"г. Хабаровск, пр-кт 60 лет Октября, 156, литер А",4,68800,4300,4141760,0.004,0.1,1
"г. Хабаровск, пр-кт 60-летия Октября, 162 с. 1",4,18400,4600,1184960,0.004,0.1,1
"г. Хабаровск, просп. 60 лет Октября, д. 137а",3,69700,3800,1059440,0.003,0.07,1
"г. Хабаровск, просп. 60-летия Октября",3,8000,3200,358400,0.003,0.02,1
"г. Хабаровск, просп. 60-летия Октября, 156",1,19100,1700,649400,0.005,0.06,1
"г. Хабаровск, просп. 60-летия Октября, 67",1,26700,100,53400,0.005,0.06,1
"г. Хабаровск, просп. 60-летия Октября, 90",2,96700,1900,3674600,0.005,0.06,1
"г. Хабаровск, просп. 60-летия Октября, д. 158, корп. 1",4,10800,1300,280800,0.005,0.06,1
"г. Хабаровск, просп. 60-летия Октября, д. 162",2,24800,6200,3075200,0.005,0.06,1
"г. Хабаровск, просп. 60-летия Октября, д. 100",3,25400,6300,2240280,0.003,0.02,1
"г. Хабаровск, просп. 60-летия Октября, д. 206",0,36000,2500,540000,0.003,0.02,1
"г. Хабаровск, просп. 60-летия Октября, д. 67",1,42000,300,176400,0.003,0.02,1
"г. Хабаровск, просп. 60-летия Октября, д. 82",0,62300,2600,971880,0.003,0.03,1
"г. Хабаровск, просп. 60-летия Октября, д. 84",4,74000,8000,4736000,0.003,0.01,1
"г. Хабаровск, Тихоокеанская ул., 158А",2,81400,2900,3304840,0.004,0.1,1
"г. Хабаровск, ул. Автобусная, 2",1,20600,9000,3708000,0.005,0.06,1
"г. Хабаровск, ул. Архангельская, д. 27а",0,86800,8400,14582400,0.005,0.06,1
"г. Хабаровск, ул. Батуевская Ветка, д. 20",4,51000,7500,7650000,0.005,0.06,1
"г. Хабаровск, ул. Белорусская, д. 39",3,36600,4500,3294000,0.005,0.06,1
"г. Хабаровск, ул. Бойко-Павлова, 2",3,6800,5700,775200,0.005,0.06,1
"г. Хабаровск, ул. Большая, 118",0,33100,10000,6620000,0.005,0.06,1
"г. Хабаровск, ул. Большая, 7",2,66100,100,132200,0.005,0.06,1
"г. Хабаровск, ул. Большая, 88",1,47000,2100,1974000,0.005,0.06,1
"г. Хабаровск, ул. Большая, д. 87д",2,40000,3600,2880000,0.005,0.06,1
"г. Хабаровск, ул. Брестская, 4",1,86900,2200,3823600,0.005,0.06,1
"г. Хабаровск, ул. Вахова, 2",3,12700,8900,2260600,0.005,0.06,1
"г. Хабаровск, ул. Владивостокская, 61",4,51900,6300,6539400,0.005,0.06,1
"г. Хабаровск, ул. Волочаевская 85 корп. 1",4,23300,2000,932000,0.005,0.06,1
"г. Хабаровск, ул. Волочаевская, 33",1,71500,4400,6292000,0.005,0.06,1
"г. Хабаровск, ул. Волочаевская, д. 8е",1,69100,1500,2073000,0.005,0.06,1
"г. Хабаровск, ул. Волочаевская, д. 9 а",3,42800,5200,4451200,0.005,0.06,1
"г. Хабаровск, ул. Воровского, 21",4,1600,9900,316800,0.005,0.06,1
"г. Хабаровск, ул. Воронежская, 31",2,49000,300,294000,0.005,0.06,1
"г. Хабаровск, ул. Ворошилова, д. 29 Б",2,39700,8000,6352000,0.005,0.06,1
"г. Хабаровск, ул. Ворошилова, д. 35 Б",3,50200,8300,8333200,0.005,0.06,1
"г. Хабаровск, ул. Гагарина, 11",0,5100,4600,469200,0.005,0.06,1
"г. Хабаровск, ул. Гамарника, 12",3,67300,8700,11710200,0.005,0.06,1
"г. Хабаровск, ул. Дикопольцева, д. 26а",3,900,5500,99000,0.005,0.06,1
"г. Хабаровск, ул. Запарина, 130",0,29300,6900,4043400,0.005,0.06,1
"г. Хабаровск, ул. Индустриальная, д. 1 Б",4,29900,3100,1853800,0.005,0.06,1
"г. Хабаровск, ул. Истомина, д. 56а",3,33700,8400,5661600,0.005,0.06,1
