city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
"г. Хабаровск, ул. Калараша, 15",3,44400,7200,6393600,0.005,0.06,1
"г. Хабаровск, ул. Калараша, д. 29а",1,92200,4900,9035600,0.005,0.06,1
"г. Хабаровск, ул. Калинина, 111",2,46100,9200,8482400,0.005,0.06,1
"г. Хабаровск, ул. Калинина, 28",0,22500,6000,2700000,0.005,0.06,1
"г. Хабаровск, ул. Карла Маркса 143Г",0,5800,7900,916400,0.005,0.06,1
"г. Хабаровск, ул. Карла Маркса, 114",1,20500,7200,2952000,0.005,0.06,1
"г. Хабаровск, ул. Карла Маркса, 41",3,30800,9900,4268880,0.004,0.1,1
"г. Хабаровск, ул. Карла Маркса, 59",1,39600,5300,4197600,0.005,0.06,1
"г. Хабаровск, ул. Карла Маркса, 74",4,58700,2000,2348000,0.005,0.06,1
"г. Хабаровск, ул. Карла Маркса, д. 143г",4,97000,2200,4268000,0.005,0.06,1
"г. Хабаровск, ул. Карла-Маркса, 76",4,53800,3100,2334920,0.004,0.1,1
"г. Хабаровск, ул. Карла-Маркса, 92",2,46800,2300,1506960,0.004,0.1,1
"г. Хабаровск, ул. Ким Ю Чена, 44",3,56900,200,227600,0.005,0.06,1
"г. Хабаровск, ул. Ким Ю Чена, 47",1,67600,5800,7841600,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, 109, стр. Б",2,5300,9800,1038800,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, 157",2,11400,6100,1390800,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, 159",3,63700,6200,7898800,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, 193",2,65500,2300,3013000,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, 209",2,85700,8400,14397600,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, 44",1,11700,7100,1661400,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, 81",1,65400,300,392400,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, 92",0,30300,3800,2302800,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, д. 169а",4,59400,200,237600,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, д. 90",1,20500,1400,574000,0.005,0.06,1
"г. Хабаровск, ул. Ленина, 25",2,700,2900,40600,0.005,0.06,1
"г. Хабаровск, ул. Ленина, 29",4,95400,9200,17553600,0.005,0.06,1
"г. Хабаровск, ул. Ленина, 33",2,57800,5100,5895600,0.005,0.06,1
"г. Хабаровск, ул. Ленина, 43",1,47800,900,602280,0.004,0.1,1
"г. Хабаровск, ул. Ленина, 69",1,34300,1100,754600,0.005,0.06,1
"г. Хабаровск, ул. Ленина, д. 43, стр. 2",2,17300,5000,1730000,0.005,0.06,1
"г. Хабаровск, ул. Ленинградская, 58",1,68900,5500,7579000,0.005,0.06,1
"г. Хабаровск, ул. Ленинградская, 81",1,80100,5900,9451800,0.005,0.06,1
"г. Хабаровск, ул. Ленинградская, д. 9 А",2,26100,2800,1461600,0.005,0.06,1
"г. Хабаровск, ул. Ленинградская, д. 9а",1,48200,10000,9640000,0.005,0.06,1
"г. Хабаровск, ул. Льва Толстого, 15",2,98400,1200,2361600,0.005,0.06,1
"г. Хабаровск, ул. Льва Толстого, д. 19а",4,8700,1200,208800,0.005,0.06,1
"г. Хабаровск, ул. Молодежная, 23",2,35000,5600,3920000,0.005,0.06,1
"г. Хабаровск, ул. Морозова Павла Леонтьевича, 118",2,71200,9100,12958400,0.005,0.06,1
"г. Хабаровск, ул. Морозова Павла Леонтьевича, 58",3,80100,2000,2242800,0.004,0.1,1
"г. Хабаровск, ул. Морозова Павла Леонтьевича, д. 86",3,22000,2400,1056000,0.005,0.06,1
"г. Хабаровск, ул. Муравьева-Амурского 7",2,97800,7400,14474400,0.005,0.06,1
"г. Хабаровск, ул. Муравьева-Амурского, 19",3,85400,4700,8027600,0.005,0.06,1
"г. Хабаровск, ул. Муравьева-Амурского, 36",1,51900,7200,5231520,0.004,0.1,1
"г. Хабаровск, ул. Муравьева-Амурского, 44",1,9600,5300,1017600,0.005,0.06,1
"г. Хабаровск, ул. Панфиловцев, 14, корп. Б",3,89900,1800,3236400,0.005,0.06,1
"г. Хабаровск, ул. Панфиловцев, д. 14 Б",0,5900,7100,837800,0.005,0.06,1
"г. Хабаровск, ул. Профессора Даниловского, 16, корп. А",3,41300,4600,3799600,0.005,0.06,1
"г. Хабаровск, ул. профессора Даниловского, 6Б",1,2700,8200,309960,0.004,0.1,1
"г. Хабаровск, ул. Профессора Даниловского, д. 16а",4,29900,800,478400,0.005,0.06,1
"г. Хабаровск, ул. Пушкина 31",2,99300,1600,3177600,0.005,0.06,1
"г. Хабаровск, ул. Пушкина, 54",1,63000,800,1008000,0.005,0.06,1
"г. Хабаровск, ул. Руднева, 56",1,25600,5000,2560000,0.005,0.06,1
"г. Хабаровск, ул. Руднева, 79",1,55300,1200,1327200,0.005,0.06,1
"г. Хабаровск, ул. Сергеевская, 26",1,85900,8600,14774800,0.005,0.06,1
"г. Хабаровск, ул. Серышева, 42",3,25400,8100,4114800,0.005,0.06,1
"г. Хабаровск, ул. Серышева, 88",1,86800,8700,15103200,0.005,0.06,1
"г. Хабаровск, ул. Советская, 10, корп. 1",3,40100,3000,2406000,0.005,0.06,1
"г. Хабаровск, ул. Суворова, 51",2,71900,4400,6327200,0.005,0.06,1
"г. Хабаровск, ул. Суворова, 80",3,57500,9900,11385000,0.005,0.06,1
"г. Хабаровск, ул. Суворова, д. 28",4,93500,4700,8789000,0.005,0.06,1
"г. Хабаровск, ул. Тимирязева, д. 65",4,1300,600,15600,0.005,0.06,1
"г. Хабаровск, ул. Тихоокеанская 191 А",2,57600,2900,3340800,0.005,0.06,1
"г. Хабаровск, ул. Тихоокеанская 204",3,7500,2400,360000,0.005,0.06,1
"г. Хабаровск, ул. Тихоокеанская, 136",3,98100,4200,8240400,0.005,0.06,1
"г. Хабаровск, ул. Тихоокеанская, 170а",0,80700,9100,14687400,0.005,0.06,1
"г. Хабаровск, ул. Тихоокеанская, д. 191а",2,34800,4400,3062400,0.005,0.06,1
"г. Хабаровск, ул. Тихоокеанская, д. 218 в",4,68200,700,954800,0.005,0.06,1
"г. Хабаровск, ул. Трехгорная, 98",3,99500,1200,2388000,0.005,0.06,1
"г. Хабаровск, ул. Тургенева, 46",0,36700,9900,7266600,0.005,0.06,1
"г. Хабаровск, ул. Уборевича, д. 72",2,76900,2100,3229800,0.005,0.06,1
"г. Хабаровск, ул. Ульяновская, 160",2,66000,4100,5412000,0.005,0.06,1
"г. Хабаровск, ул. Фрунзе, д. 47а",3,40100,5700,4571400,0.005,0.06,1
"г. Хабаровск, ул. Шевчука, 29",0,53600,100,107200,0.005,0.06,1
"г. Хабаровск, ул. Шелеста, 114",1,21900,7300,3197400,0.005,0.06,1
"г. Хабаровск, ул. Шелеста, д. 2а",4,85300,8700,14842200,0.005,0.06,1
"г. Хабаровск, ул. Шеронова, 22",4,83700,8400,14061600,0.005,0.06,1
"г. Хабаровск, ул. Школьная, д. 32а",2,26000,9800,5096000,0.005,0.06,1
"г. Хабаровск, ул. Шкотова, д. 15, корп. а",2,40000,5300,4240000,0.005,0.06,1
"г. Хабаровск, ул. Шкотова, д. 15а",0,46100,4100,3780200,0.005,0.06,1
"г. Хабаровск, ул. Аксенова, д. 24",3,50700,4300,1308060,0.003,0.08,1
"г. Хабаровск, ул. Армавирская, д. 1",1,11300,8500,1344700,0.003,0.02,1
"г. Хабаровск, ул. Батуевская ветка, д. 20",3,89500,9300,9988200,0.003,0.07,1
"г. Хабаровск, ул. Батуевская Ветка, д. 20",0,14800,8900,1844080,0.003,0.02,1
"г. Хабаровск, ул. Бойко-Павлова, д. 2",2,84800,8000,8140800,0.003,0.07,1
"г. Хабаровск, ул. Бойко-Павлова, д. 3",3,52000,9700,7061600,0.003,0.02,1
"г. Хабаровск, ул. Большая, д. 122",1,70700,9800,9700040,0.003,0.02,1
"г. Хабаровск, ул. Большая, д. 88",1,20100,100,20100,0.02,0.8,1
"г. Хабаровск, ул. Большая, д. 99",4,43800,2900,1524240,0.003,0.07,1
"г. Хабаровск, ул. Бондаря, д. 6а",1,94700,1800,681840,0.003,0.07,1
"г. Хабаровск, ул. Брестская, д. 22",3,79900,8600,4122840,0.003,0.08,1
"г. Хабаровск, ул. Владивостокская, д. 61",2,9200,3000,331200,0.003,0.07,1
"г. Хабаровск, ул. Владивостокская, д. 61а",1,74500,2300,2398900,0.003,0.02,1
"г. Хабаровск, ул. Волочаевская, д. 104а",0,49700,6800,1351840,0.003,0.02,1
"г. Хабаровск, ул. Волочаевская, д. 148",2,68600,3100,2977240,0.003,0.02,1
"г. Хабаровск, ул. Волочаевская, д. 163",2,65200,8900,1160560,0.003,0.05,1
"г. Хабаровск, ул. Волочаевская, д. 188",4,18700,9000,1009800,0.003,0.08,1
"г. Хабаровск, ул. Волочаевская, д. 33",4,10600,8400,356160,0.003,0.07,1
"г. Хабаровск, ул. Волочаевская, д. 85/1",3,80600,2900,2804880,0.003,0.07,1
"г. Хабаровск, ул. Волочаевская, д. 9а",1,82300,4000,4608800,0.003,0.02,1
"г. Хабаровск, ул. Воровского, д. 10",1,68200,7900,7542920,0.003,0.02,1
"г. Хабаровск, ул. Воронежская, 49",3,76900,5100,7843800,0.005,0.06,1
"г. Хабаровск, ул. Воронежская, д. 19",1,89000,1600,284800,0.003,0.02,1
"г. Хабаровск, ул. Воронежская, д. 19а",0,3900,9900,231660,0.003,0.02,1
"г. Хабаровск, ул. Воронежская, д. 31",0,82300,2700,2666520,0.003,0.07,1
"г. Хабаровск, ул. Воронежская, д. 47/1",2,67400,3900,2628600,0.02,0.8,1
"г. Хабаровск, ул. Воронежская, д. 49",4,39100,8800,4817120,0.003,0.02,1
"г. Хабаровск, ул. Ворошилова, д. 10",4,35900,4500,969300,0.003,0.08,1
"г. Хабаровск, ул. Ворошилова, д. 28",3,76900,9400,10120040,0.003,0.02,1
"г. Хабаровск, ул. Ворошилова, д. 29 Б",1,62000,3200,1190400,0.003,0.02,1
"г. Хабаровск, ул. Вяземская, д. 3",0,38400,7000,1612800,0.003,0.08,1
"г. Хабаровск, ул. Гагарина, д. 11",0,31500,1000,126000,0.003,0.07,1
"г. Хабаровск, ул. Гагарина, д. 14",3,11600,2000,139200,0.003,0.03,1
"г. Хабаровск, ул. Гоголя, д. 27",2,95100,9300,3537720,0.003,0.07,1
"г. Хабаровск, ул. Демьяна Бедного, д. 27",2,65600,5600,2204160,0.003,0.08,1
"г. Хабаровск, ул. Джамбула, 36",3,5100,2600,265200,0.005,0.06,1
"г. Хабаровск, ул. Джамбула, 81",1,5400,9900,1069200,0.005,0.06,1
"г. Хабаровск, ул. Джамбула, д. 13",2,95800,5200,3985280,0.003,0.03,1
"г. Хабаровск, ул. Джамбула, д. 36",2,32800,9200,4224640,0.003,0.02,1
"г. Хабаровск, ул. Дзержинского, д. 23",3,21100,7100,599240,0.003,0.07,1
"г. Хабаровск, ул. Дзержинского, д. 56",1,34400,3400,701760,0.003,0.04,1
"г. Хабаровск, ул. Дикопольцева, д. 12",4,68400,100,68400,0.02,0.8,1
"г. Хабаровск, ул. Забайкальская, д. 10",1,69100,5500,1520200,0.003,0.07,1
"г. Хабаровск, ул. Запарина, 1",3,19900,8900,3542200,0.005,0.06,1
"г. Хабаровск, ул. Запарина, д. 130",3,81500,8900,2901400,0.003,0.07,1
"г. Хабаровск, ул. Запарина, д. 57",4,83900,8600,1443080,0.003,0.02,1
"г. Хабаровск, ул. Запарина, д. 86",3,73100,4000,584800,0.003,0.02,1
"г. Хабаровск, ул. Истомина, д. 51а",2,32500,7100,2307500,0.02,0.8,1
"г. Хабаровск, ул. Истомина, д. 85",4,14000,7100,397600,0.003,0.07,1
"г. Хабаровск, ул. Калараша, д. 1",1,59700,6100,4370040,0.003,0.07,1
"г. Хабаровск, ул. Калараша, д. 15",1,97400,9000,5259600,0.003,0.08,1
"г. Хабаровск, ул. Калараша, д. 3",2,34400,3100,639840,0.003,0.03,1
"г. Хабаровск, ул. Калинина, д. 120",3,100,8100,4860,0.003,0.08,1
"г. Хабаровск, ул. Калинина, д. 66",3,42000,5400,3175200,0.003,0.02,1
"г. Хабаровск, ул. Карла Маркса, 60",2,57800,7500,8670000,0.005,0.06,1
"г. Хабаровск, ул. Карла Маркса, 76",4,12700,5600,1422400,0.005,0.06,1
"г. Хабаровск, ул. Карла Маркса, д. 114",4,12500,900,90000,0.003,0.03,1
"г. Хабаровск, ул. Карла Маркса, д. 143г",3,30300,8000,1454400,0.003,0.08,1
"г. Хабаровск, ул. Карла Маркса, д. 143е",2,66500,300,239400,0.003,0.07,1
"г. Хабаровск, ул. Карла Маркса, д. 144г",0,22500,9100,2047500,0.02,0.8,1
"г. Хабаровск, ул. Карла Маркса, д. 49",3,26300,300,31560,0.003,0.01,1
"г. Хабаровск, ул. Карла Маркса, д. 56",1,45200,4900,3100720,0.003,0.02,1
"г. Хабаровск, ул. Карла Маркса, д. 76а",3,31600,6500,2054000,0.02,0.8,1
"г. Хабаровск, ул. Карла Маркса, д. 96а",3,30900,3600,667440,0.003,0.02,1
"г. Хабаровск, ул. Ким Ю Чена, д. 15",1,6600,7300,674520,0.003,0.02,1
"г. Хабаровск, ул. Ким Ю Чена, д. 26",0,43900,2700,948240,0.003,0.03,1
"г. Хабаровск, ул. Ким Ю Чена, д. 47",4,5100,100,6120,0.003,0.07,1
"г. Хабаровск, ул. Клубная, д. 23",0,69000,9700,9370200,0.003,0.02,1
"г. Хабаровск, ул. Комсомольская, д. 100",3,95800,5900,1130440,0.003,0.02,1
"г. Хабаровск, ул. Комсомольская, д. 102",1,24100,6200,298840,0.003,0.01,1
"г. Хабаровск, ул. Комсомольская, д. 67",2,59000,1400,1156400,0.003,0.02,1
"г. Хабаровск, ул. Королева, д. 7",2,65700,5400,1419120,0.003,0.07,1
"г. Хабаровск, ул. Королева, д. 8",4,30900,9200,3979920,0.003,0.02,1
"г. Хабаровск, ул. Краснодарская, д. 9",1,200,8900,24920,0.003,0.02,1
"г. Хабаровск, ул. Краснореченская, 111, корп. В",2,11200,8400,1881600,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, 9",4,28300,500,283000,0.005,0.06,1
"г. Хабаровск, ул. Краснореченская, д. 100",1,82800,7600,7551360,0.003,0.07,1
"г. Хабаровск, ул. Краснореченская, д. 131а",3,65900,900,355860,0.003,0.03,1
"г. Хабаровск, ул. Краснореченская, д. 159",1,700,8200,57400,0.02,0.8,1
"г. Хабаровск, ул. Краснореченская, д. 169а",3,86600,6200,2147680,0.003,0.07,1
"г. Хабаровск, ул. Краснореченская, д. 193",0,42100,7500,4420500,0.003,0.02,1
"г. Хабаровск, ул. Краснореченская, д. 207",4,6500,4500,117000,0.003,0.03,1
"г. Хабаровск, ул. Краснореченская, д. 46а",3,92000,300,220800,0.003,0.01,1
"г. Хабаровск, ул. Краснореченская, д. 90",3,32600,6400,2920960,0.003,0.02,1
"г. Хабаровск, ул. Краснореченская, д. 96",4,77100,8300,8959020,0.003,0.02,1
"г. Хабаровск, ул. Краснореченская, д. 97а",3,62900,7900,993820,0.001,0.02,1
"г. Хабаровск, ул. Лейтенанта Шмидта, д. 2",4,90000,2600,1404000,0.003,0.08,1
"г. Хабаровск, ул. Ленина, 85",3,31400,7000,4396000,0.005,0.06,1
"г. Хабаровск, ул. Ленина, д. 18",1,54800,1000,657600,0.003,0.07,1
"г. Хабаровск, ул. Ленина, д. 18в",4,11600,4900,795760,0.003,0.02,1
"г. Хабаровск, ул. Ленина, д. 24",0,56900,8600,6850760,0.003,0.02,1
"г. Хабаровск, ул. Ленина, д. 29",2,57700,5600,1938720,0.003,0.02,1
"г. Хабаровск, ул. Ленина, д. 32",3,46600,1900,354160,0.003,0.07,1
"г. Хабаровск, ул. Ленина, д. 33",3,52700,5500,1159400,0.003,0.02,1
"г. Хабаровск, ул. Ленина, д. 41",4,800,9800,47040,0.003,0.03,1
"г. Хабаровск, ул. Ленина, д. 43а",2,15900,3200,407040,0.003,0.03,1
"г. Хабаровск, ул. Ленина, д. 44",1,29500,5300,625400,0.003,0.07,1
"г. Хабаровск, ул. Ленина, д. 48",2,56000,6100,4782400,0.003,0.02,1
"г. Хабаровск, ул. Ленина, д. 57",3,28300,1700,673540,0.003,0.02,1
"г. Хабаровск, ул. Ленина, д. 61",1,63500,1500,762000,0.003,0.01,1
"г. Хабаровск, ул. Ленина, д. 70",0,91100,4600,2514360,0.003,0.03,1
"г. Хабаровск, ул. Ленина, д. 71",2,69300,2500,2425500,0.003,0.02,1
"г. Хабаровск, ул. Ленина, д. 75",1,82400,9700,4795680,0.003,0.04,1
"г. Хабаровск, ул. Ленинградская, 28",2,91900,2300,4227400,0.005,0.06,1
"г. Хабаровск, ул. Ленинградская, д. 58",0,80900,1100,533940,0.003,0.08,1
"г. Хабаровск, ул. Ленинградская, д. 62",3,88300,7600,4026480,0.003,0.03,1
"г. Хабаровск, ул. Ленинградская, д. 81",2,11700,2100,245700,0.02,0.8,1
"г. Хабаровск, ул. Лермонтова, д. 17",1,5900,5300,187620,0.003,0.08,1
"г. Хабаровск, ул. Льва Толстого, д. 12",3,5800,1600,18560,0.003,0.02,1
"г. Хабаровск, ул. Льва Толстого, д. 15",1,82400,8700,2867520,0.003,0.02,1
"г. Хабаровск, ул. Льва Толстого, д. 8а",3,41500,200,16600,0.003,0.02,1
"г. Хабаровск, ул. Магаданская, д. 35а",1,4900,6800,466480,0.003,0.02,1
"г. Хабаровск, ул. Малиновского, 33",2,48600,4500,4374000,0.005,0.06,1
"г. Хабаровск, ул. Металлистов, 18",0,62400,4900,6115200,0.005,0.06,1
"г. Хабаровск, ул. Металлистов, д. 24",0,22300,1800,321120,0.003,0.03,1
"г. Хабаровск, ул. Морозова Павла Леонтьевича, 58",1,93900,6000,11268000,0.005,0.06,1
"г. Хабаровск, ул. Морозова, д. 128 Б",3,54700,4900,3216360,0.003,0.07,1
"г. Хабаровск, ул. Морозова, д. 58ж",2,71200,3800,3246720,0.003,0.07,1
"г. Хабаровск, ул. Морозова, д. 86",3,95600,2700,2064960,0.003,0.03,1
"г. Хабаровск, ул. Морозова, д. 91",4,99600,1700,2370480,0.003,0.02,1
"г. Хабаровск, ул. Московская, д. 7",0,97800,9000,12322800,0.003,0.02,1
"г. Хабаровск, ул. Муравьева Амурского, д. 28",1,79700,4900,2343180,0.003,0.08,1
"г. Хабаровск, ул. Муравьева Амурского, д. 32",2,34100,1900,907060,0.003,0.02,1
"г. Хабаровск, ул. Муравьева-Амурского, 23",3,79400,4800,7622400,0.005,0.06,1
"г. Хабаровск, ул. Муравьева-Амурского, д. 11",2,4500,5600,50400,0.003,0.02,1
"г. Хабаровск, ул. Муравьева-Амурского, д. 23",4,94000,2600,1955200,0.003,0.03,1
"г. Хабаровск, ул. Муравьева-Амурского, д. 26",3,40100,5600,2694720,0.003,0.07,1
"г. Хабаровск, ул. Муравьева-Амурского, д. 34",1,63800,3100,2373360,0.003,0.07,1
"г. Хабаровск, ул. Муравьева-Амурского, д. 50",2,57900,1100,382140,0.003,0.08,1
"г. Хабаровск, ул. Муравьева-Амурского, д. 7",2,47200,4800,1359360,0.003,0.02,1
"г. Хабаровск, ул. Муравьева-Амурского, д. 9",1,57300,1000,343800,0.003,0.03,1
"г. Хабаровск, ул. Нововыборгская, 25",0,67800,6600,8949600,0.005,0.06,1
"г. Хабаровск, ул. Нововыборгская, д. 25",3,78800,2300,2174880,0.003,0.07,1
"г. Хабаровск, ул. Окружная, 15",1,8400,5800,974400,0.005,0.06,1
"г. Хабаровск, ул. Павла Морозова, д. 62",1,33900,6700,1362780,0.003,0.02,1
"г. Хабаровск, ул. Павловича, д. 1 Б",4,30200,5000,604000,0.003,0.07,1
"г. Хабаровск, ул. Павловича, д. 13",3,86600,9600,3325440,0.003,0.02,1
"г. Хабаровск, ул. Панфиловцев, д. 34",1,9300,8400,312480,0.003,0.07,1
"г. Хабаровск, ул. Панфиловцев, д. 37",4,44700,2600,1627080,0.003,0.02,1
"г. Хабаровск, ул. Портовая, д. 1",1,19100,9200,1054320,0.003,0.02,1
"г. Хабаровск, ул. Прогрессивная, 6",0,77000,7800,12012000,0.005,0.06,1
"г. Хабаровск, ул. Прогрессивная, д. 6",4,72900,8000,2332800,0.003,0.07,1
"г. Хабаровск, ул. Производственная, д. 2",3,7200,2600,74880,0.003,0.07,1
"г. Хабаровск, ул. Профессора Даниловского, д. 6 Б",3,52300,8100,1694520,0.003,0.07,1
"г. Хабаровск, ул. Пушкина, д. 66",3,17700,5500,1168200,0.003,0.07,1
"г. Хабаровск, ул. Пушкина, д. 70",2,60600,7000,1696800,0.003,0.03,1
"г. Хабаровск, ул. Ремесленная, д. 9",1,11700,600,56160,0.003,0.03,1
"г. Хабаровск, ул. Руднева, д. 33",1,70500,6600,3722400,0.003,0.01,1
"г. Хабаровск, ул. Руднева, д. 81",3,52100,9700,3032220,0.003,0.08,1
"г. Хабаровск, ул. Сергеевская, д. 26",3,23900,5000,956000,0.003,0.03,1
"г. Хабаровск, ул. Серышева, д. 15",1,39900,4900,2737140,0.003,0.02,1
"г. Хабаровск, ул. Серышева, д. 21",0,58900,7600,2685840,0.003,0.03,1
"г. Хабаровск, ул. Серышева, д. 8",4,89500,2700,3383100,0.003,0.02,1
"г. Хабаровск, ул. Слободская, д. 12",1,35800,1800,515520,0.003,0.03,1
"г. Хабаровск, ул. Стрельникова, д. 16а",2,62100,8700,7563780,0.003,0.02,1
"г. Хабаровск, ул. Стрельникова, д. 8а",1,70200,8400,3538080,0.003,0.02,1
"г. Хабаровск, ул. Суворова, д. 1",1,71700,8800,1261920,0.003,0.02,1
"г. Хабаровск, ул. Суворова, д. 26",3,40600,900,146160,0.003,0.02,1
"г. Хабаровск, ул. Суворова, д. 28 Б",2,2900,5900,205320,0.003,0.07,1
"г. Хабаровск, ул. Суворова, д. 32",0,5700,8600,392160,0.003,0.03,1
"г. Хабаровск, ул. Суворова, д. 42",2,98200,3000,4124400,0.003,0.02,1
"г. Хабаровск, ул. Суворова, д. 49",4,84900,7700,2614920,0.003,0.03,1
"г. Хабаровск, ул. Суворова, д. 51а",4,44400,8100,3596400,0.02,0.8,1
"г. Хабаровск, ул. Суворова, д. 84",2,31100,5400,671760,0.003,0.02,1
"г. Хабаровск, ул. Тихоокеанская, д. 130",3,48300,6400,1236480,0.003,0.07,1
"г. Хабаровск, ул. Тихоокеанская, д. 134",3,80900,7000,4530400,0.003,0.03,1
"г. Хабаровск, ул. Тихоокеанская, д. 140",2,95700,6000,2296800,0.003,0.07,1
"г. Хабаровск, ул. Тихоокеанская, д. 158а",1,24100,9400,906160,0.003,0.07,1
"г. Хабаровск, ул. Тихоокеанская, д. 172",0,59200,5800,4807040,0.003,0.02,1
"г. Хабаровск, ул. Тихоокеанская, д. 191",4,90700,5600,7110880,0.003,0.02,1
"г. Хабаровск, ул. Тихоокеанская, д. 191а",3,21100,6000,759600,0.003,0.03,1
"г. Хабаровск, ул. Тихоокеанская, д. 204",3,18200,4400,160160,0.001,0.02,1
"г. Хабаровск, ул. Тихоокенская, д. 191а",3,42200,7100,3595440,0.003,0.07,1
"г. Хабаровск, ул. Тургенева, д. 49",1,78300,6100,2865780,0.003,0.02,1
"г. Хабаровск, ул. Уборевича, д. 72",3,52000,7100,5168800,0.003,0.02,1
"г. Хабаровск, ул. Узловая, 15, стр. 4",1,59900,6500,7787000,0.005,0.06,1
"г. Хабаровск, ул. Ульяновская, 197, корп. 6",1,69500,9200,12788000,0.005,0.06,1
"г. Хабаровск, ул. Фрунзе, д. 22",1,57100,100,34260,0.003,0.03,1
"г. Хабаровск, ул. Фрунзе, д. 69",3,57500,9600,4416000,0.003,0.03,1
"г. Хабаровск, ул. Шевченко, д. 18",1,52200,7200,1503360,0.003,0.07,1
"г. Хабаровск, ул. Шевчука, д. 23",3,85400,7100,3638040,0.003,0.03,1
"г. Хабаровск, ул. Шеронова, 92",2,89500,7000,12530000,0.005,0.06,1
"г. Хабаровск, ул. Шеронова, д. 115",2,86300,9200,9527520,0.003,0.07,1
"г. Хабаровск, ул. Шеронова, д. 3",4,66400,2500,2324000,0.003,0.02,1
"г. Хабаровск, ул. Шеронова, д. 56а",1,48000,9700,6518400,0.003,0.02,1
"г. Хабаровск, ул. Шеронова, д. 65",3,8700,6800,828240,0.003,0.02,1
"г. Хабаровск, ул. Шеронова, д. 7",2,46400,2700,751680,0.003,0.08,1
"г. Хабаровск, ул. Школьная, д. 32",0,94500,2100,2778300,0.003,0.02,1
"г. Хабаровск, ул. Шкотова, д. 4",0,71400,100,42840,0.003,0.08,1
"г. Хабаровск, ул. Ясная, д. 4",3,41000,7400,1213600,0.003,0.07,1
"г. Хабаровск, Хабаровский мост",4,95100,7800,2967120,0.003,0.07,1
"г. Хабаровск, ш. Владивостокское, 14-й км",1,89200,900,321120,0.003,0.07,1
"г. Хабаровск, ш. Воронежское, д. 164",1,21500,4300,1294300,0.003,0.02,1
"г. Хабаровск, ш. Восточное, д. 50а",0,42700,900,461160,0.003,0.07,1
"г. Хабаровск, ш. Матвеевское, д. 22",2,1700,600,14280,0.003,0.02,1
"г. Хабаровск, ш. Матвеевское, д. 28",2,75000,9400,9870000,0.003,0.02,1
"г. Хабаровск, ш. Матвеевское, д. 28 А-Б",2,28800,3400,587520,0.003,0.08,1
"г. Хабаровск, ш. Матвеевское, д. 28 Б",3,70500,900,253800,0.003,0.03,1
"г. Хабаровск, ш. Матвеевское, д. 32",0,44700,2100,1314180,0.003,0.02,1
"г. Хабаровск, ш. Матвеевское, д. 47",3,89200,4100,1462880,0.003,0.07,1
"г. Хабаровск, ш. Федоровское, д. 10",4,6600,7200,380160,0.003,0.03,1
"г. Хабаровск, шоссе Восточное, 41",2,52000,2000,2080000,0.005,0.06,1
"г. Хабаровск, шоссе Восточное, 50",0,57800,900,1040400,0.005,0.06,1
"г. Хабаровск, шоссе Матвеевское 6",2,93300,3700,6904200,0.005,0.06,1
"г. Хабаровск, шоссе Матвеевское, 13",1,72300,4500,6507000,0.005,0.06,1
"г. Хабаровск, шоссе Матвеевское, 26",3,55700,7500,8355000,0.005,0.06,1
"г. Хабаровск, шоссе Матвеевское, 28",1,69100,7300,10088600,0.005,0.06,1
